result shown in seconds
totalTime: 18.9182205
joinFiles: 1.1538663
parsingDonationsFile: 12.4776825
parsingDonorsFile: 5.2866705
--------- results ---------
,1.7681222739999976E7
Kenwood,3445.15
Dickerson,655.0
Forest Home,35.0
Ford,200.0
Catlin,3216.25
Belle Chasse,7660.58
South Bend,75872.57
South Yarmouth,5682.080000000001
Washington Depot,290.0
Preble,232.5
Moline,32776.55
Dalzell,4574.02
Quemado,150.0
Curran,50.0
Molina,25.0
Franktown,3759.82
Kamuela,27500.840000000007
Emmett,8359.02
Mammoth Cave,0.0
Harbor Springs,9559.97
Island Heights,857.89
Morocco,305.0
Laramie,6459.779999999999
Linn Creek,346.65
Pennsburg,1375.92
Weatherby,65.0
Roanoke Rapids,21246.510000000006
Foss,50.0
Wilton,111150.88999999997
Whitewater,26908.83
Eldred,589.99
Cairnbrook,199.16
Bendena,1299.2
South Lake Tahoe,21916.590000000004
Cole Camp,772.02
Clarks Point,9803.480000000001
Parkston,1963.87
Elberta,1584.39
Risingsun,1432.56
Wytopitlock,20.0
Burkeville,202.65
Port Henry,837.0
Crete,8241.31
Southeastern,125.0
Zion,7744.96
Pawling,4709.24
Shinnston,549.9300000000001
Cochranville,1337.65
Ajo,1295.24
Supply,5971.72
Rupert,2419.64
Bean Station,847.89
Edwardsville,22625.719999999998
Haymarket,24914.72
Bondurant,2746.81
Theresa,1201.27
Ocean Springs,190194.17000000007
Vero Beach,66004.01
Kerrick,20.0
Fairbanks,26982.079999999998
Fort Kent,3628.6
Holcombe,1255.33
Chicopee,17265.03
Fort Ann,390.0
Emerald Isle,16215.200000000003
Colonial Beach,1512.51
Pittsford,46241.53999999999
Molino,3870.1
Elsa,25.0
Garrett,2281.36
Kinmundy,38.0
Ariton,135.0
Arkansas City,3966.6800000000003
Okarche,4763.330000000001
Wyncote,8974.420000000002
Salisbury Center,177.85
Lufkin,24536.46000000001
Ware Shoals,5681.34
Trinity,20261.079999999998
College Station,353564.8800000008
Connoquenessing,70.0
Silverthorne,1732.22
Ama,199.0
Glen Rock,17789.500000000004
Estes Park,5894.02
South River,2041.6200000000001
West Shokan,93.95
Amo,144.0
Annandale On Hudson,502.33000000000004
Palos Verdes Peninsula,58683.95
La Sal,1237.5
Jewett,301.28
Huron,13242.050000000001
Elberon,262.39
Garden Valley,1777.3
Ohatchee,2607.23
Clubb,25.0
Rockwell City,120.0
Chariton,2832.6
Bartlesville,52590.17000000001
Waynetown,478.93
Willow Creek,967.0
Markham,584.0
Valley Head,110.0
Groom,88.78
Ashburn,150168.66999999995
Citrus Ridge,7709.490000000001
Amboy,4202.68
Yamhill,1048.96
Eyota,2814.45
Eucha,439.26
Stoneham,54428.06999999999
Ewing,1558.4
Tonawanda,14462.419999999998
Thompsonville,1047.8899999999999
Framingham,118312.27000000002
Nora Springs,465.0
Kelayres,30.0
Wishek,0.0
Blacklick,17362.18
Aneta,0.0
Indian Trail,30514.6
Livingston,72115.1
Edneyville,224.74
Pettigrew,50.0
Fox Island,4217.17
Saint Helens,3246.0699999999997
North Bennington,1845.0
Spottsville,115.0
Barnstead,439.0
Calpine,50.0
Christiansted,1804.06
Grand Terrace,4542.79
Hallsville,4369.36
Saint Helena,8611.24
Steamboat Rock,219.0
Crane Hill,973.9200000000001
Winterport,2484.52
Bushkill,1188.43
Loch Sheldrake,75.0
Bloomsbury,853.8
Ponchatoula,20726.219999999994
Currie,145.0
Aulander,299.0
Taunton,31844.09
Oklee,240.0
Mescalero,1467.38
Meadow,87.86
Needham,69108.15999999999
Niles,68052.48000000001
Abbot,50.0
Vulcan,2027.44
Beason,255.0
Waucoma,25.0
Broomall,12242.410000000002
Tullahoma,10557.86
Hurst,50070.09
Beaufort,45512.2
Pierpont,1075.0
Snover,40.0
Durhamville,65.0
Tensed,50.0
Arvilla,5.0
La Canada Flintridge,57271.73
Waycross,8322.650000000001
Waldoboro,4512.14
Craftsbury Common,688.3199999999999
Shallowater,1315.74
Society Hill,330.0
Ark,325.0
Shohola,447.9
Arp,401.0
De Leon,2042.46
Botsford,25.0
La Rue,80.0
Pinebluff,2292.3199999999997
Culloden,2465.43
Ary,25.0
Ekalaka,50.0
Rockaway Park,59211.31000000001
Tonopah,12662.4
Kinsman,2150.44
Castle Rock,65004.44
Tappen,228.20999999999998
South China,757.4200000000001
Maybell,200.0
Ash,299.0
Valentine,952.05
Grabill,215.0
Burnt Hills,1096.1100000000001
New Virginia,195.0
Bristow,17104.910000000003
Glenwood Springs,6243.32
Pago Pago,450.0
Wasilla,36688.43
Grove,4332.29
Yauco,45.0
Pineview,25.0
Chestnut Hill,68349.49000000002
Pinon Hills,689.0
Toulon,265.0
Swansboro,17992.65
Greene,4463.839999999999
Bloomsburg,5641.08
Trout Creek,243.0
Salter Path,220.0
Deckerville,1368.4099999999999
Lacombe,1995.81
South Gardiner,25.0
Alford,137.64
Triplett,50.0
Palos Hills,7357.29
Rockaway Beach,1273.06
Saugerties,6492.280000000001
Belspring,250.0
Great Bend,2635.5699999999997
Mount Juliet,41121.119999999995
Marine City,1052.0
Bristol,89089.63000000003
Anchor Point,1022.91
Ermine,550.0
Midway,16336.630000000001
Chalfont,37024.58
Elliottsburg,879.89
Magalia,3067.0
Hornick,300.0
Ava,3260.83
Evergreen Park,19887.100000000002
Mesilla Park,511.36
Greenview,776.88
Pearland,122343.88000000003
Barnard,595.0
Oconee,100.0
Dennis,2469.95
Cummaquid,25.0
New York Mills,355.0
Broadlands,100.0
Sherman Mills,220.0
Gauley Bridge,60.0
Nathrop,956.85
Mountain,369.99
Tappan,4206.63
Hopwood,843.0
Ramsey,12562.01
McCaulley,150.0
Purchase,9282.54
Culpeper,12950.57
Fort Benning,2434.5
Fairfield Bay,382.28
Hanapepe,1064.0
Archbald,909.0
Coolin,25.0
Sewanee,6340.77
Boring,4249.5
Willamina,275.75
West Hickory,25.0
Sisters,9662.16
Springboro,33043.48
Wessington Springs,933.05
Chattaroy,1997.2800000000002
Daly City,99274.50999999994
Cheyenne Wells,304.95
Sunburst,260.0
Sault Sainte Marie,4757.4400000000005
Hoopeston,2480.58
West Alexander,460.0
Amber,174.0
Hayes,7380.299999999999
Hendersonville,69958.91
Deerbrook,125.0
Crosbyton,1022.0
Lackawaxen,185.0
Van Orin,100.0
Kosciusko,7920.99
Robards,148.0
Jenkinsburg,280.82
East Sandwich,26105.01999999999
Jumping Branch,165.11
Shawmut,45.0
Athens,273840.29999999993
Woodbourne,180.0
Arcadia,74923.25999999998
Monahans,4447.240000000001
Huntingtown,10145.06
Ukiah,46922.600000000006
Lake Ariel,2183.33
River Grove,2970.04
Athena,360.0
Hamlet,5215.22
Churubusco,1708.98
Hamler,50.0
The Sea Ranch,479.2
Ojai,17240.039999999997
Edgewater,63212.39
East Helena,3688.1
Melvin Village,1511.98
Collegedale,540.19
Butte,8556.62
Wadmalaw Island,878.5
Glassboro,12742.770000000002
Kotlik,420.0
Kittredge,265.0
Buffalo Prairie,25.0
Green River,2100.13
Export,2396.61
Lincoln Park,19091.659999999996
Ashkum,849.9200000000001
Butler,52441.279999999984
San Clemente,68188.69
Grosse Tete,220.0
Mellette,130.0
Ripley,8611.27
Scottsboro,6423.759999999999
California City,2304.63
Dillon Beach,125.0
Moosic,1492.0
Keshena,100.0
Colorado Springs,233503.16
North Thetford,1230.1499999999999
Hightstown,17686.54
North Hollywood,143756.39
Harshaw,75.0
Latham,22199.350000000002
San Felipe,25.0
Tyro,126.93
Clarkton,1116.27
Montville,19737.540000000005
Gardendale,13165.32
Silverado,3390.8
Wamego,2372.51
Saxon,10.0
Noatak,5.0
Manawa,75.0
Mableton,59574.82000000001
Verdi,730.15
Lingle,25.0
Clarksboro,3996.5299999999997
Dania,4701.56
Gassaway,839.96
Wartburg,1090.98
Okeana,926.69
Penns Park,25.0
Swainsboro,2379.53
Womelsdorf,499.06
Round Lake,33698.38
Coushatta,13118.84
Yreka,2301.83
Cold Brook,390.13
Prattville,14757.369999999999
Mascotte,1057.54
Paige,2526.88
Chesterland,4070.71
Winfield,16347.81
Des Plaines,45058.52999999999
Makaweli,25.0
Queenstown,1258.44
Otter Rock,101.0
Gettysburg,18689.77
Orrville,2206.4700000000003
Cape Vincent,335.0
Assaria,100.0
Oscar,175.0
Ash Grove,3419.9
Megargel,50.0
Negreet,600.0
Manati,459.0
Beebe,13224.099999999999
Kanopolis,10.0
Star Prairie,305.0
Hamlin,5428.55
Herminie,812.9
Bay,628.0
Fellsmere,582.3
Navarre,1118.0
Mountain Lakes,2540.0
Huntersville,86859.17999999996
Waukomis,692.51
Pennington,13302.320000000002
Climax,4334.5599999999995
Kadoka,50.0
Abingdon,20216.719999999998
Bison,2673.59
Fence,20.0
Pacific Palisades,144796.48999999993
Goldens Bridge,868.02
Albany,183944.9800000001
Danbury,103565.40000000001
Boswell,2793.95
Port Trevorton,496.13
Rodeo,7065.639999999999
Parker,115629.83000000002
Elkins Park,28849.969999999998
Twain Harte,25009.740000000005
Paguate,0.0
Ten Mile,1187.3600000000001
Tilton,2382.9400000000005
Kents Store,1327.1
Souderton,8646.900000000001
Higley,235.0
Jetmore,150.0
Nicasio,520.0
Milner,1510.38
Haverstraw,3821.3199999999997
Port Allegany,3032.2400000000002
Gilliam,25.0
Maryland,85.0
Clayville,235.0
Chaumont,25.0
Hawks,108.0
Bosler,75.0
Ahoskie,1665.19
Tiger,122.36
Meredosia,100.0
Cherryvale,1426.4300000000003
Cement City,1660.63
Beaverville,40.0
Simms,135.0
Colesburg,150.0
Tickfaw,5793.900000000001
Bee,75.0
Lordsburg,3544.8199999999997
Peachtree City,39765.57
Cedar City,113067.43999999994
Arcade,1147.3
Gleason,135.0
Kettle Island,70.0
North Hero,25.0
Isabella,16.0
Gilbertville,198.0
Chattahoochee,396.64
Heath,8895.07
Lugoff,12221.400000000001
Coralville,26297.919999999995
Wildomar,15001.230000000003
McIntosh,565.0
Rosalia,30.0
Proctorsville,420.0
Westside,60.0
Egg Harbor City,5623.14
Deep Gap,1150.24
Devers,371.31
Brooks,5557.23
Marquette,46251.100000000006
Chamberlain,1422.05
Landenberg,6427.06
Encinal,790.0600000000001
Free Union,3079.6799999999994
Ennis,10611.3
New Glarus,2225.83
Simla,1431.26
Glenn Dale,8568.74
Kamiah,1782.8999999999999
Flora Vista,260.0
Gibsonville,5993.64
Parkin,100.0
Baxter Springs,3134.45
Wade,2512.28
Ridgefield Park,6052.8099999999995
Little York,431.0
Oronogo,7354.48
Pottstown,39613.700000000004
Stigler,1140.01
Ravenden Springs,100.0
Franklin Grove,515.3299999999999
Bradenton,128587.34
Overgaard,845.0
Porterville,6173.679999999999
Wadley,419.0
East Pittsburgh,515.0
Fort Ogden,50.0
Hearne,560.0
Inkster,1924.4299999999998
Roaring Springs,408.5
Churchton,2210.44
Palisades Park,3622.16
Zachary,22610.21
Medon,200.0
Bim,50.0
Soddy Daisy,14076.119999999999
Chamisal,124.0
Haddock,65.89
Knife River,0.0
Capitola,7167.91
Devils Lake,1516.56
Ladd,190.0
Hines,864.42
Osage,1652.75
Warminster,36969.24999999999
Beech Island,16233.810000000001
Waco,34769.350000000006
Madisonville,51215.439999999995
Parksville,25.0
Dousman,5581.960000000001
Wauregan,25.0
Stony Point,11592.4
Gabriels,125.0
Round Pond,698.76
North Dartmouth,9489.570000000002
Sebeka,224.8
Brookline Village,94.15
Fredericksburg,96145.93000000002
Greencreek,0.0
Taberg,200.0
South El Monte,3412.25
Cape Porpoise,324.0
Fancy Gap,714.9799999999999
Seale,1705.71
Chesapeake Beach,29985.59000000001
Petoskey,11687.38
Florida,1382.83
Renfrew,451.0
Little Suamico,345.0
Glidden,244.88
Trail,770.0699999999999
Hooversville,460.68
Purvis,3176.8299999999995
Titonka,398.0
Hungry Horse,75.0
Sealy,9246.45
Powder Springs,35501.8
Two Rivers,7230.08
Van Etten,110.0
Vernon Rockville,39688.03
Brilliant,25.0
Marienville,675.0
Laie,4272.0199999999995
Sackets Harbor,300.0
New Salem,898.77
Oronoco,1635.5
Oswego,50506.14000000001
Moapa,40.0
Turbotville,30.0
Allardt,205.0
Foothill Ranch,19931.21
Andrews,27909.93
Mira Loma,5584.97
Tomales,871.6600000000001
Blairs,25.0
Oaklyn,8072.01
Fort Huachuca,970.75
Cross Plains,3002.9500000000003
Gramercy,166.0
Florien,560.0
Gladeville,50.0
Edgecomb,495.0
Falls Mills,85.0
Homeland,710.0
Heber City,12827.24
Plainfield,95707.29999999999
Tucson,567955.27
Rexville,95.87
Saint Clairsville,9044.48
Lake,2596.66
Far Rockaway,19382.350000000002
Vader,120.0
Olancha,65.0
Trade,265.0
Swan,0.0
Falling Waters,2275.74
Claymont,6062.48
Luna Pier,545.0
West Yellowstone,145.0
Hulbert,719.31
Redcrest,50.0
Mount Angel,1751.09
Traer,939.51
Mount Arlington,1584.1
Monarch,50.0
Piney Point,367.8
Mahopac Falls,165.0
Bow,7206.54
Maryville,80082.89999999998
Talking Rock,500.0
Bordentown,7869.620000000001
San Juan Capistrano,26707.969999999998
Edmonton,161.32
Hockessin,11648.16
Nooksack,50.0
Leedey,189.26
Wall,50.0
La Quinta,23339.94
Pauma Valley,1533.96
Naperville,181021.93000000008
Eskdale,25.0
Mazon,349.0
Schoolcraft,12083.11
Minter,149.07
Guymon,5219.77
Haskins,165.0
Primos,7033.35
Pompton Lakes,8292.68
Center City,325.0
Leetsdale,155.0
Buffalo Creek,200.0
Faber,191.0
Richmondville,270.0
Plentywood,1721.9099999999999
Kaleva,157.0
Kimball,1577.9099999999999
Clitherall,150.0
Clay Center,1551.24
Maybee,210.0
Rustburg,2533.83
Tracy,44848.38
Anderson,139672.09000000003
Wake,1499.31
Curtis Bay,1230.0
Calvert City,2843.79
Francestown,570.0
Moosup,4446.45
Blaine,16623.6
Quenemo,765.4100000000001
Bomoseen,51.46
Kerrville,23221.519999999993
Stantonville,75.0
Littlefield,1400.82
Petal,7443.489999999999
Cornville,6628.17
Darrouzett,45.0
Sparr,136.99
Campbellsburg,654.0
South Freeport,274.75
Brielle,1839.2
Wann,926.2900000000001
Stone Lake,485.0
Olney,20503.82
Mukwonago,8982.529999999999
Glen Spey,784.3199999999999
Merrillville,8271.03
Colden,75.0
Creve Coeur,375.0
Surrency,250.0
Eliot,2508.52
Bronte,200.0
Whitney Point,694.5
Wells River,190.0
Barneston,25.0
Vails Gate,100.0
Naylor,310.0
Wethersfield,33930.36
Ringle,989.88
Bullock,360.0
Lamy,18338.609999999997
Blue Earth,620.0
Cabazon,365.62
Lane,415.0
Goose Lake,424.0
Pelican Rapids,1795.57
Churdan,75.0
Wana,175.0
Reesville,25.0
James Creek,1299.5
Phillipsburg,15568.419999999998
Kenbridge,1854.53
Arcata,27607.100000000002
Lake City,57062.850000000006
Dry Prong,3366.55
Breedsville,0.0
Bud,11.33
Dorothy,10.0
Gothenburg,1044.62
New Rockford,105.11
Muskegon,75733.73000000001
Tuscola,6671.59
Wexford,53755.73
Cowden,75.0
Saranac Lake,3597.75
Fort Fairfield,1130.72
Carefree,6832.920000000001
Fort Drum,699.11
Sears,120.0
Palenville,250.36999999999998
Heber,1823.0
Grand Mound,25.0
Lesterville,308.58
Shelburne,8965.32
Charlotte,1322683.5699999998
Harborton,100.0
Suquamish,2036.76
Harrells,1455.92
Lisbon Falls,2183.55
Monroeton,100.0
Mannsville,256.46000000000004
High Bridge,2802.03
Wishon,20.0
Neodesha,3362.3199999999997
Long Lane,135.0
Patrick AFB,829.39
Indiahoma,570.0
West Yarmouth,3200.5699999999997
West Mansfield,180.81
Marksville,1334.0
Oak City,70.0
Liverpool,30200.790000000008
Chino,35304.5
Mantachie,981.0
Deputy,220.0
Nunda,376.04
Bowdon Junction,313.73
Fackler,60.0
Downey,102200.29000000002
Clarks Summit,9379.06
El Dorado Hills,43756.720000000016
Eastpointe,8545.33
Fair Haven,17326.11
Lyerly,300.0
Rocky River,17840.379999999997
Foster City,925.0
Hop Bottom,265.0
Ware,3920.11
Watertown,112078.91000000005
Ward,2900.2400000000002
Little Valley,1021.71
North Washington,50.0
Lake Montezuma,115.0
Rio Verde,619.14
Honobia,50.0
Painted Post,1682.0200000000002
Marshville,5824.63
Dresher,19745.4
Shreveport,147887.67999999996
Chelmsford,37307.8
Madera,10855.22
Iron Mountain,19977.829999999998
China,489.0
Stillwater,118788.22000000006
Skaneateles,3394.21
Greenmountain,105.0
Nunez,100.0
Chili,773.12
South Plainfield,9317.939999999999
Fairwater,85.0
Groveland,26527.67
Dumfries,2846.0600000000004
Carrolltown,525.0
South Amboy,13380.740000000002
Odenville,6482.3
Montfort,160.0
Glen Ridge,83143.77000000002
Lawn,175.11
Port Alexander,49.16
New Marshfield,150.0
Olympic Valley,72.0
Okay,100.0
West Stockholm,200.0
Ivoryton,1706.09
Elnora,166.28
East Liverpool,22160.79
Fruita,3291.2499999999995
Cerro Gordo,175.0
Talbotton,307.0
Ethridge,294.15
Calexico,2535.24
Forest Dale,60.0
Fortescue,70.0
Taftville,1935.5500000000002
Munising,875.0
Ringsted,30.0
Turlock,26397.79
Carmel Valley,9155.7
Long Lake,4612.15
Chesterfield,117380.56000000001
Gravois Mills,1010.0
Oldfield,312.0
Lost Springs,25.0
Traphill,1503.94
San Geronimo,902.0
Eastham,2743.79
Hurtsboro,125.0
Sandborn,110.0
Petty,0.0
Forsan,9000.0
Killeen,23373.11
Ackerman,1490.0
Lyndeborough,1300.0
Avon By The Sea,2068.37
Harrietta,150.0
Daufuskie Island,250.0
Simpsonville,165211.15999999995
Osprey,4858.74
Otego,711.53
Byhalia,2169.0
Napoleonville,2302.0
Conneautville,850.0
South Egremont,0.0
Braddock Heights,15.0
Knobel,45.0
Fort Walton Beach,25422.300000000003
Ferrisburg,599.0
Cumberland Gap,1039.09
Enid,93667.29000000001
East Andover,155.0
Eastville,1239.48
Jackson Heights,84509.55999999998
North Little Rock,46773.30999999999
Tobyhanna,5973.1900000000005
Moore Haven,285.0
Ozone Park,19076.77
Cashion,340.0
Clute,3784.61
Leetonia,5278.65
Concordia,2088.88
Montello,798.47
Bellefonte,4439.59
Chittenango,3978.84
Matthews,151209.55
Slatedale,30.0
Lederach,3196.6400000000003
Eugene,170337.97000000003
Airville,400.0
Little Genesee,240.37
Manns Choice,4246.75
Waukena,198.0
Spencerville,2228.08
Willimantic,9173.039999999999
Stryker,200.0
Glen Arbor,200.0
Bear,34814.920000000006
Searsmont,745.32
Pewamo,605.46
Brasstown,259.0
Battiest,100.0
Mogadore,3906.7
Kearney,16954.890000000003
Clarkson,325.0
Darrow,50.0
Tripoli,610.78
Destrehan,4705.0599999999995
West Harwich,910.0
Muscatine,12383.449999999999
Sherrard,1303.0700000000002
Playa Del Rey,34611.770000000004
Lake Geneva,9771.26
Palmerton,1885.8400000000001
McSherrystown,240.0
Chappells,267.22
Maitland,17502.89
Marshalltown,9758.75
Kingsley,5927.52
Cortaro,1173.9099999999999
Griffin,18279.78
Eureka,56107.40000000001
Enka,273.0
Milnor,0.0
Spillville,50.0
Mead,3012.7400000000002
Lamoure,20.0
Carrollton,107162.32999999994
Oglesby,1375.38
Keedysville,695.0
Staley,200.0
Bradyville,1861.3600000000001
Speonk,1740.77
Vesta,240.0
Fort Belvoir,2334.13
East Blue Hill,25.0
Armagh,1104.13
Llano,2085.38
Benedicta,210.0
Pipestem,80.0
Shelton,51670.90000000002
Rehoboth Beach,18920.34
Kanona,1497.95
Emerson,3778.49
Exchange,90.0
Winter Haven,55684.520000000004
Worcester,119995.00000000004
Snelling,394.34
Moreland,1336.7400000000002
Rosebush,361.85
Stanwood,21177.260000000002
Mecosta,175.0
Andreas,233.07
Bluffs,128.79
Dagsboro,12182.48
La Honda,4071.7
Modoc,629.76
Enon,5814.140000000001
Oakwood,5416.250000000001
Fairchild Air Force Base,1260.0
Makawao,10116.69
Courtenay,253.0
Reddick,1400.26
Eagle Pass,7211.41
Tracy City,711.72
Willow River,1315.12
Roseburg,5275.2300000000005
Lawtey,240.0
Burns Flat,279.83000000000004
Troutdale,11867.34
Sonoma,70710.08
Duncannon,2784.3
Hermleigh,85.0
South Heart,80.0
Edinboro,7485.1
Pass Christian,9611.86
Dinuba,16135.42
Northboro,15.0
South Saint Paul,5637.570000000001
Roxana,160.0
Romulus,6382.150000000001
Peridot,200.0
Nocatee,184.22
Carlisle,30131.030000000002
East Granby,2929.53
Nokomis,27811.809999999998
Mineral Bluff,1544.04
Healdsburg,30939.130000000005
Friesland,99.0
Kalispell,24069.059999999994
Plant City,36680.700000000004
Ellison Bay,4072.96
New Kingstown,50.0
Comerio,25.0
Pachuta,50.0
Mackeyville,15.0
Valmeyer,180.0
Kalida,70.0
Rogersville,48586.18999999999
Branson,18378.489999999998
South Brunswick,4551.72
Ragland,737.01
Vanderwagen,20.0
Peconic,150.0
Merion Station,19770.49
Beaver,27452.3
Trumann,1362.1100000000001
Rowland Heights,24873.659999999996
Buhler,435.0
Louviers,2616.0
Coon Valley,325.0
Persia,60.0
Schofield,6474.839999999999
Black Hawk,3882.35
Killingworth,4856.429999999999
Doswell,2571.54
The Dalles,19068.37
Palisades,1698.2
Perryton,2427.33
Hookstown,1151.79
Morro Bay,9884.07
Ryder,50.0
Iron River,13503.399999999998
Anchorville,50.0
Malakoff,2574.76
Vanceburg,2164.4500000000003
Cle Elum,730.0
Angels Camp,2360.0
Collingswood,43629.08000000001
Port Ludlow,11210.89
Cave Springs,4290.77
Wenona,295.0
Cambridgeport,40.0
Vestal,49672.779999999984
Kansas City,591353.7700000005
Santa Rosa Beach,27199.07
Clearmont,90.0
Hackett,600.0
Newfield,4902.68
Stoystown,290.0
Piasa,160.0
Rochelle Park,5293.42
Fort Bidwell,47.17
Maramec,125.0
Pendergrass,2447.65
Dodgeville,2126.4
Hamilton City,557.94
Belt,125.0
East Greenville,1128.3899999999999
Newman,3164.11
Bell,12262.960000000001
Plympton,7259.4800000000005
Belk,10.0
South English,50.0
Tulelake,1545.67
Bend,59134.28
Bena,331.65999999999997
Hancock,9509.45
Saukville,2049.8199999999997
Mena,2205.52
Byars,1766.3799999999999
Varnville,1486.54
North Hartland,15.0
Pico Rivera,24779.170000000002
Valleyford,701.8599999999999
Garner,44936.899999999994
Chincoteague Island,1443.0
Forsyth,15206.03
Saint Jacob,2568.37
Conyers,36312.79
Meno,100.0
Goodridge,178.0
Zolfo Springs,2208.96
Tonkawa,4295.4
Port Saint Lucie,59714.40000000001
Indian Rocks Beach,3762.99
Del Valle,6499.37
Coy,446.40999999999997
Cuddebackville,400.0
Chester Springs,8866.540000000003
Cape May,5545.53
Lac Du Flambeau,415.63
Browns Mills,3159.32
Meadow Vista,5290.18
Rodessa,50.0
Springfield Gardens,8984.38
North Falmouth,1514.04
Upperco,1430.98
French Settlement,1450.29
Ortonville,6812.719999999998
Hobbs,4965.400000000001
Armada,1537.01
Eldorado Springs,90.0
Glenshaw,8077.330000000001
Hutto,19155.05
Barksdale AFB,2071.58
Moweaqua,902.53
Naytahwaush,100.0
Oregonia,1313.15
Mountain Lake,1648.15
Rubicon,206.56
Hillpoint,45.0
Waverly,19705.550000000003
Summit Point,170.0
Menomonie,13047.2
Indian Hills,2340.39
Union Hall,1010.33
Macedonia,9982.119999999999
Wagram,2599.39
East Haddam,18242.63
Bern,0.0
Fairchance,225.0
Westville,6888.29
New Tazewell,325.0
Wading River,5957.68
Narvon,389.34000000000003
Kealakekua,4449.290000000001
Beale AFB,206.0
Wicomico,10.0
Markle,1228.0
Ruby,265.0
Rutherford College,350.0
Whitmore,200.0
Hoboken,118704.98000000001
Kountze,1578.0
Fort Mill,110109.13000000003
Big Sandy,2461.48
Talent,8030.05
Tillamook,3383.06
Yates Center,10.0
Saint Leonard,1506.27
Elmira,10602.08
Lacoochee,15.0
Monrovia,60593.02999999999
Sparrow Bush,455.0
Drake,30.0
Takotna,159.65
Catharpin,400.0
Meta,715.12
Cordesville,165.0
Idabel,1503.7
Indiana,16263.570000000003
West Long Branch,3302.5499999999997
Rudd,99.0
Tunas,25.0
Mentmore,30.0
Closter,11389.280000000002
Prairie Lea,0.0
Moreauville,380.0
Centrahoma,63.26
Tuscumbia,15780.05
Buffalo Center,0.0
George West,485.44
Treichlers,25.0
Keysville,3092.66
South Elgin,11334.059999999998
Saltsburg,1582.4699999999998
Angus,1579.96
Rudy,130.0
Mesa,348368.9499999999
Battletown,50.0
West Helena,1368.8100000000002
Queen City,3388.95
Drain,200.0
Rochelle,3215.49
Lenni,72.53999999999999
Cat Spring,275.0
Spring Glen,100.0
Midway Park,727.0799999999999
Texarkana,22108.820000000003
Connell,610.0
Franconia,610.0
Olanta,938.5
Driftwood,6019.280000000001
Hughson,3514.3399999999997
Windyville,35.0
Jenner,666.64
Tomahawk,2189.62
Miramonte,100.0
Cannonville,50.0
Upperglade,50.0
Footville,445.0
Sharon,24978.91
Parish,1673.0600000000002
Floriston,145.0
Gilman,1219.85
Mount Prospect,39672.26999999999
Long Barn,10.0
McClure,499.75
Houlton,3307.86
Alamo,87485.43000000002
Cherry Point,125.0
Franklin Square,14190.660000000002
Cobden,348.79
Richland Center,1839.62
Carroll,1861.9799999999998
Selkirk,12554.31
Withee,487.74
Guntown,809.0
Gloverville,25.0
Skyland,499.76
